source_type,source_name,full_name,html_url,homepage,pages_url,description,owner_login,primary_language,detected_stack,topics,license_name,stars,forks,watchers,open_issues,archived,fork,private,created_at,updated_at,pushed_at,default_branch,latest_release_tag,latest_release_url,latest_commit_date,latest_commit_sha,latest_commit_message,readme_path,tree_truncated,total_tree_entries,top_level_dirs,top_level_files,important_files,deployment_hints,deployment_links,notes
user,shoaib2000857,shoaib2000857/100DAYS_OF_100WEBPROJECTS-GSSOC,https://github.com/shoaib2000857/100DAYS_OF_100WEBPROJECTS-GSSOC,https://100daysof100webprojects.netlify.app,,"100 Days 100 Web Projects is a frontend-focused open-source challenge where I build one project daily using HTML, CSS, and JavaScript. Contributors are welcome to add creative mini-projects, improve existing ones, fix bugs, or enhance UI/UX. A great opportunity to learn, build, and grow together in the open-source community!",shoaib2000857,HTML,JavaScript; Data Science / ML,,,0,0,0,0,False,True,False,2025-08-03T15:02:07Z,2025-08-07T07:13:33Z,2025-08-07T07:13:24Z,main,,,2025-08-07T07:13:23Z,b5702d01bd401fa4a4f97458989ffbcccc21bb85,Merge branch 'main' into main,README.md,False,264,.vscode; chatbot; public,100-days-100-webdev-projects-LOGO.png; README.md; contributors.html; home.css; index.css; index.html; index.js; script.js,README.md; index.html,github_pages,https://100daysof100webprojects.netlify.app; https://readme-typing-svg.herokuapp.com?font=Fira+Code&size=25&pause=1000&color=6AE3F9&center=true&vCenter=true&width=1000&lines=Learn+By+Building!+💻;100+Web+Projects+Challenge🔥;HTML+CSS+JS+and+More!; https://contributors-img.web.app/image?repo=rutikakengal/100DAYS_OF_100WEBPROJECTS,Repository is a fork.
user,shoaib2000857,shoaib2000857/24f2000857_git_challenge_lab,https://github.com/shoaib2000857/24f2000857_git_challenge_lab,,,,shoaib2000857,Python,Python,,,0,0,0,0,False,False,False,2025-09-14T16:27:30Z,2025-09-22T14:01:12Z,2025-09-22T14:01:07Z,main,,,2025-09-22T14:01:07Z,ebc9da73a78498927d0935273b6c058679b6e5fa,"Merge pull request #1 from shoaib2000857/t1

Create Info.md",README.md,False,3,,Info.md; README.md; main.py,README.md; main.py,,,
user,shoaib2000857,shoaib2000857/Aerosense,https://github.com/shoaib2000857/Aerosense,,,,shoaib2000857,,Python; JavaScript; React; FastAPI,,,0,0,0,0,False,True,False,2025-10-12T18:46:30Z,2025-10-12T18:46:30Z,2025-10-12T18:13:33Z,main,,,2025-10-12T18:13:32Z,f773f2b69a7fe703ace1a53d570c6a2f3a56a466,Add files via upload,README.md,False,80,__pycache__; backend; frontend,README.md,README.md,github_pages,,Repository is a fork.
user,shoaib2000857,shoaib2000857/Aetheria,https://github.com/shoaib2000857/Aetheria,https://aetheria-pi.vercel.app,,"Aetheria is a futuristic startup designing AI-powered personal climate pods for urban environments. Think wearable tech meets microclimate control – adjusting temperature, humidity, and air quality around you in real time.",shoaib2000857,HTML,JavaScript,,,0,0,0,0,False,False,False,2025-07-20T08:17:41Z,2025-07-20T08:21:00Z,2025-07-20T08:18:40Z,main,,,2025-07-20T08:18:39Z,ddab82a914fa2263f58d62cc494eb7bc5ebed5be,Create script.js,,False,3,,index.html; script.js; styles.css,index.html,github_pages,https://aetheria-pi.vercel.app,No README found via API.
user,shoaib2000857,shoaib2000857/Amour-Editorial-Website-Gssoc,https://github.com/shoaib2000857/Amour-Editorial-Website-Gssoc,https://amour-editorial-website.vercel.app,,,shoaib2000857,TypeScript,JavaScript; TypeScript; React; Next.js,,MIT License,0,0,0,0,False,True,False,2025-07-25T14:26:20Z,2025-07-29T19:25:15Z,2025-07-29T19:25:08Z,main,,,2025-07-29T19:25:07Z,560f287bf9cbf5fa710adc3ca6532792a6ede9d5,Merge branch 'main' into main,README.md,False,178,amour-Backend; amour-next-ts,.DS_Store; .gitignore; CONTACT_SETUP.md; Contributors.md; LICENSE; PROJECT-SETUP.md; README.md; image.png; package-lock.json; package.json; test.sh,README.md; package-lock.json; package.json,vercel,https://amour-editorial-website.vercel.app; https://amour-editorial-website.vercel.app/,Repository is a fork.
user,shoaib2000857,shoaib2000857/analyze,https://github.com/shoaib2000857/analyze,,https://shoaib2000857.github.io/analyze/,,shoaib2000857,HTML,Python,,MIT License,0,0,0,0,False,False,False,2025-10-22T23:53:21Z,2025-10-22T23:54:16Z,2025-10-22T23:54:13Z,main,,,2025-10-22T23:54:12Z,a2e5e796f8aa38726b3f6a4a8f66c1d72c1635e7,Task Analyze - Round 1: LLM-generated app update/creation,README.md,False,9,.github,LICENSE; README.md; data.csv; data.xlsx; execute.py; index.html,.github/workflows/ci.yml; README.md; index.html,github_pages,https://shoaib2000857.github.io/analyze/,
user,shoaib2000857,shoaib2000857/AstraOS,https://github.com/shoaib2000857/AstraOS,,,,shoaib2000857,Python,Python; JavaScript; TypeScript; React; FastAPI; Docker,,,0,0,0,0,False,False,False,2026-04-13T10:46:02Z,2026-04-14T06:06:01Z,2026-04-14T06:05:57Z,main,,,2026-04-14T06:05:51Z,4542af55c13b66f378539a4a891c9300ce6fed5d,Implement chat streaming and enhance README with local development instructions,README.md,False,49,apps; backend; docker,.gitignore; README.md,README.md,docker; github_pages,,
user,shoaib2000857,shoaib2000857/AWS-AI-For-Bharat-2026,https://github.com/shoaib2000857/AWS-AI-For-Bharat-2026,,,,shoaib2000857,,Next.js; FastAPI,,,0,0,0,0,False,False,False,2026-02-12T18:14:11Z,2026-02-15T17:59:47Z,2026-02-15T17:59:44Z,main,,,2026-02-15T17:59:44Z,2b1331d8c13b92ff270e346ef2d71ffc583bfc9d,"Create README for AI-Driven Deployment Platform

Added detailed README for AI-Driven Intelligent Deployment Platform, outlining problem statement, vision, solution, key features, process flow, technical architecture, and unique selling propositions.",README.md,False,3,,README.md; design.md; requirements.md,README.md,docker,,
user,shoaib2000857,shoaib2000857/cpython,https://github.com/shoaib2000857/cpython,https://www.python.org,,The Python programming language,shoaib2000857,Python,Python; JavaScript; C/C++; Java,,Other,0,0,0,0,False,True,False,2025-01-30T10:40:41Z,2025-01-30T11:27:51Z,2025-01-30T11:27:43Z,main,,,2025-01-30T11:27:42Z,29aaebfd310a3842904483630ef8ca81d6acffc4,Update unicode.rst,README.rst,False,5515,.azure-pipelines; .devcontainer; .github; Android; Doc; Grammar; Include; InternalDocs; Lib; Mac; Misc; Modules; Objects; PC; PCbuild; Parser; Programs; Python; Tools; iOS,.coveragerc; .editorconfig; .gitattributes; .gitignore; .mailmap; .pre-commit-config.yaml; .readthedocs.yml; LICENSE; Makefile.pre.in; README.rst; aclocal.m4; config.guess; config.sub; configure; configure.ac; install-sh; pyconfig.h.in,.github/workflows/add-issue-header.yml; .github/workflows/build.yml; .github/workflows/documentation-links.yml; .github/workflows/jit.yml; .github/workflows/lint.yml; .github/workflows/mypy.yml; .github/workflows/new-bugs-announce-notifier.yml; .github/workflows/project-updater.yml; .github/workflows/require-pr-label.yml; .github/workflows/reusable-change-detection.yml; .github/workflows/reusable-docs.yml; .github/workflows/reusable-macos.yml; .github/workflows/reusable-tsan.yml; .github/workflows/reusable-ubuntu.yml; .github/workflows/reusable-wasi.yml; .github/workflows/reusable-windows-msi.yml; .github/workflows/reusable-windows.yml; .github/workflows/stale.yml; .github/workflows/verify-ensurepip-wheels.yml; README.rst,github_pages,https://www.python.org,Repository is a fork.
user,shoaib2000857,shoaib2000857/custom-404,https://github.com/shoaib2000857/custom-404,https://shoaib2000857.github.io/custom-404/,https://shoaib2000857.github.io/custom-404/,,shoaib2000857,HTML,,,,0,0,0,0,False,False,False,2025-10-29T13:55:49Z,2025-10-29T13:59:03Z,2025-10-29T13:56:42Z,main,,,2025-10-29T13:56:41Z,ad0111ceb39ca68bd37c6baa787435a9d0cb39f4,Add custom 404 error page,,False,2,,404.html; index.html,index.html,github_pages,https://shoaib2000857.github.io/custom-404/,No README found via API.
user,shoaib2000857,shoaib2000857/daily-activity-log,https://github.com/shoaib2000857/daily-activity-log,,,This is a repository I have made to log and track my daily coding and studies.,shoaib2000857,Python,Python,,,0,0,0,0,False,False,False,2025-05-22T07:55:22Z,2026-04-14T08:21:35Z,2026-04-14T08:21:24Z,main,,,2026-04-14T08:21:22Z,b6ca625e78af8f72c549a2bc7987a8043d65bdc5,Log block 7 for 2026-04-14,README.md,False,332,.github; logs,.gitignore; README.md; activity_logger_auto.py; daily_log.py; log_and_commit.py,.github/workflows/wakatime-log.yml; README.md,,,
user,shoaib2000857,shoaib2000857/deploy-smartly,https://github.com/shoaib2000857/deploy-smartly,https://deployify.shoaibssm.me/,,,shoaib2000857,TypeScript,Python; JavaScript; TypeScript; React; Next.js; FastAPI,,,0,0,0,0,False,False,False,2026-02-27T00:48:23Z,2026-03-08T15:22:36Z,2026-03-01T10:24:20Z,main,,,2026-03-01T10:24:16Z,607ef6c5ca9a5541160673a6a409cb5a88531589,fix: replace div with Link for better navigation in AppSidebar,README.md,False,144,.lovable; backend; public; src,.gitignore; ARCHITECTURE.md; COMPLETION_SUMMARY.md; FILE_MANIFEST.md; IMPLEMENTATION.md; QUICK_START.md; README.md; SETUP.md; bun.lockb; components.json; eslint.config.js; index.html; package-lock.json; package.json; postcss.config.js; tailwind.config.ts; tsconfig.app.json; tsconfig.json; tsconfig.node.json; vite.config.ts; vitest.config.ts,README.md; index.html; package-lock.json; package.json; postcss.config.js; tailwind.config.ts; tsconfig.json; vite.config.ts,docker; github_pages,https://deployify.shoaibssm.me/,
user,shoaib2000857,shoaib2000857/DeshDarshan-gssoc,https://github.com/shoaib2000857/DeshDarshan-gssoc,https://sampadatiwari30.github.io/DeshDarshan/,,"DeshDarshan is a cultural web platform to explore all 28 States and 8 UTs of India. Discover regional food, festivals, dances, heritage sites, and hidden fun facts through interactive cards, image sliders, and modern UI — blending tradition with technology in a unique digital journey.✨",shoaib2000857,HTML,JavaScript,,MIT License,0,0,0,0,False,True,False,2025-08-11T17:20:55Z,2025-08-12T19:05:17Z,2025-08-12T19:05:11Z,main,,,2025-08-12T19:05:11Z,7706e6d2a71d91c9fc45446b1e8b762c7573d5b8,Merge branch 'main' into main,README.md,False,453,.github; assets; components; css; data; food_images; js; pages,CHATBOT_IMPROVEMENTS.md; CONTRIBUTING.md; Code_of_Conduct.md; LICENSE; README.md; feedback.html; food-details.css; food-details.html; index.html,README.md; index.html,github_pages,https://sampadatiwari30.github.io/DeshDarshan/,Repository is a fork.
user,shoaib2000857,shoaib2000857/ElyonTheGuide,https://github.com/shoaib2000857/ElyonTheGuide,https://elyon.shoaibssm.me/,,This a AI voice based chat and assistance service.,shoaib2000857,JavaScript,JavaScript; React; Next.js,,,2,0,2,0,False,False,False,2024-12-29T05:56:36Z,2025-06-16T13:38:56Z,2025-01-20T23:44:25Z,main,,,2025-01-20T23:44:16Z,dbb9bbaa1cb4999686575d8a87471e5aa66c8da1,Fixed minor issues,README.md,False,32,app; components; public,.gitignore; README.md; eslint.config.mjs; jsconfig.json; next.config.mjs; package-lock.json; package.json; postcss.config.mjs; tailwind.config.mjs,README.md; next.config.mjs; package-lock.json; package.json; postcss.config.mjs; tailwind.config.mjs,vercel,https://elyon.shoaibssm.me/,
user,shoaib2000857,shoaib2000857/Final-Project,https://github.com/shoaib2000857/Final-Project,https://cs50project.shoaibssm.me/,,Task Master. My CS50 Final Project,shoaib2000857,Python,Python; JavaScript; Flask; C/C++; Data Science / ML,,GNU General Public License v3.0,0,0,0,0,False,False,False,2024-09-01T15:22:41Z,2024-12-26T13:58:42Z,2024-12-26T13:58:39Z,master,,,2024-12-26T13:58:39Z,dbdcb1680019ae357a1a6324c7372ea7067b1a45,Update app.py,README.md,False,2885,.venv; __pycache__; instance; migrations; static; templates,LICENSE.md; Procfile; README.md; app.py; config.py; extensions.py; forms.py; init_db.py; models.py; requirements.txt; vercel.json,Procfile; README.md; app.py; requirements.txt; vercel.json,github_pages; vercel,https://cs50project.shoaibssm.me/,
user,shoaib2000857,Jivraj-18/Frontend,https://github.com/Jivraj-18/Frontend,https://sundarbans.iitmbs.org,,VueJs Frontend for Sundarbans Website,Jivraj-18,,JavaScript; React; Vue; Django,,GNU General Public License v3.0,0,0,0,0,False,True,False,2025-09-08T18:19:35Z,2025-09-08T18:19:36Z,2025-03-21T19:26:43Z,main,,,2025-03-21T19:26:43Z,5d3b8aec31d1bff730dd74266c306d2963dd8ad2,"Merge pull request #92 from ravikumawat7716/main

Update StudyBuddy.vue",README.md,False,74,.github; public; src; tests,.eslintrc.js; .gitignore; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md; SECURITY.md; babel.config.js; jest.config.js; jsconfig.json; package-lock.json; package.json; postcss.config.js; tailwind.config.js; vue.config.js,README.md; package-lock.json; package.json; postcss.config.js; tailwind.config.js,github_pages,https://sundarbans.iitmbs.org,Repository is a fork.
user,shoaib2000857,SundarbansWebOps/Frontend,https://github.com/SundarbansWebOps/Frontend,https://sundarbans.iitmbs.org,https://SundarbansWebOps.github.io/Frontend/,VueJs Frontend for Sundarbans Website,SundarbansWebOps,Vue,JavaScript; React; Vue; Django,javascript; tailwindcss; vuejs; hacktoberfest; django; iitm; github-actions; vercel,GNU General Public License v3.0,14,41,14,8,False,False,False,2023-12-07T11:21:05Z,2026-03-02T10:42:30Z,2025-10-18T12:27:17Z,main,,,2025-10-18T12:27:16Z,3bfe6bcea6dcf637cb8f287ae5b5445ac9f673ff,"Merge pull request #99 from shoaib2000857/main

New Regional Sign-up Options",README.md,False,202,.github; assets; public; src; tests,.eslintrc.js; .gitignore; .nvmrc; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md; SECURITY.md; TEMPORARY_MODIFICATIONS.md; babel.config.js; jest.config.js; jsconfig.json; package-lock.json; package.json; postcss.config.js; tailwind.config.js; test-build.txt; vue.config.js,README.md; package-lock.json; package.json; postcss.config.js; tailwind.config.js,github_pages,https://sundarbans.iitmbs.org; https://SundarbansWebOps.github.io/Frontend/,
user,shoaib2000857,sunderbansiitmpod/Frontend,https://github.com/sunderbansiitmpod/Frontend,https://sundarbans.iitmbs.org,,VueJs Frontend for Sundarbans Website,sunderbansiitmpod,Vue,JavaScript; React; Vue; Django,,GNU General Public License v3.0,0,0,0,0,False,True,False,2024-09-15T10:39:16Z,2025-03-21T19:08:36Z,2025-03-21T19:08:28Z,main,,,2024-12-30T14:11:46Z,2eefbe25f82c2c3f1c2dd2802497049ea2564b8e,"Merge pull request #90 from Jivraj-18/main

can update mobile number",README.md,False,74,.github; public; src; tests,.eslintrc.js; .gitignore; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md; SECURITY.md; babel.config.js; jest.config.js; jsconfig.json; package-lock.json; package.json; postcss.config.js; tailwind.config.js; vue.config.js,README.md; package-lock.json; package.json; postcss.config.js; tailwind.config.js,github_pages,https://sundarbans.iitmbs.org,Repository is a fork.
user,shoaib2000857,shoaib2000857/Frontend-sundarbans,https://github.com/shoaib2000857/Frontend-sundarbans,https://sundarbans.iitmbs.org,,VueJs Frontend for Sundarbans Website,shoaib2000857,Vue,JavaScript; React; Vue; Django,,GNU General Public License v3.0,0,0,0,0,False,True,False,2025-09-08T18:14:22Z,2025-10-18T12:24:56Z,2025-10-18T12:24:52Z,main,,,2025-10-18T12:24:52Z,c86c88849c248df43e3c26db53500778ff715be6,Merge branch 'SundarbansWebOps:main' into main,README.md,False,202,.github; assets; public; src; tests,.eslintrc.js; .gitignore; .nvmrc; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md; SECURITY.md; TEMPORARY_MODIFICATIONS.md; babel.config.js; jest.config.js; jsconfig.json; package-lock.json; package.json; postcss.config.js; tailwind.config.js; test-build.txt; vue.config.js,README.md; package-lock.json; package.json; postcss.config.js; tailwind.config.js,github_pages,https://sundarbans.iitmbs.org,Repository is a fork.
user,shoaib2000857,Vigneshrdy/frontend-vm,https://github.com/Vigneshrdy/frontend-vm,,,,Vigneshrdy,TypeScript,JavaScript; TypeScript; React,,,0,0,0,0,False,False,False,2026-01-08T15:16:39Z,2026-01-14T10:10:50Z,2026-01-14T10:10:47Z,main,,,2026-01-14T10:10:46Z,c21bed6ed71e4feef71a10f899dc34a20abfe647,Change route parameter from 'shareId' to 'id',README.md,False,115,public; src,.gitignore; README.md; components.json; eslint.config.js; index.html; package-lock.json; package.json; postcss.config.js; tailwind.config.ts; tsconfig.app.json; tsconfig.json; tsconfig.node.json; vite.config.ts,README.md; index.html; package-lock.json; package.json; postcss.config.js; tailwind.config.ts; tsconfig.json; vite.config.ts,github_pages,,
user,shoaib2000857,shoaib2000857/GroupG,https://github.com/shoaib2000857/GroupG,https://teamg-opal.vercel.app,,Google GEN AI Exchange Hackathon IITM BS Team G Project on Challenge 9.,shoaib2000857,JavaScript,JavaScript; TypeScript; React; Next.js,,,0,0,0,0,False,False,False,2024-09-20T14:33:10Z,2024-10-13T19:34:13Z,2024-09-25T14:18:45Z,main,,,2024-09-25T14:18:45Z,31a7d22af0a34344b7aabd1fdb1b66ce92020904,Update hero.js,README.md,False,36,app; components; public,.eslintrc.json; .gitignore; README.md; env.semple; jsconfig.json; next.config.mjs; package-lock.json; package.json; postcss.config.mjs; tailwind.config.js; tsconfig.json,README.md; next.config.mjs; package-lock.json; package.json; postcss.config.mjs; tailwind.config.js; tsconfig.json,vercel,https://teamg-opal.vercel.app; https://teamg-opal.vercel.app/,
user,shoaib2000857,as-ga/hacksprint,https://github.com/as-ga/hacksprint,https://learnxcel.vercel.app,,HackSprint is a 5-day online hackathon focused on web development,as-ga,JavaScript,JavaScript; React; Next.js; Flask,ax; next-; nextjs15; tailwindcss,,0,1,0,0,False,False,False,2025-01-02T11:56:12Z,2025-01-21T10:34:00Z,2025-01-21T10:33:56Z,main,,,2025-01-21T10:33:53Z,5d7d3c07ca3782004821e57296dca3649edbbeeb,Merge branch 'main' of http://github.com/as-ga/hacksprint,README.md,False,73,app; components; lib; models; public,.gitignore; README.md; env.sample; favicon.ico; jsconfig.json; middleware.js; next.config.mjs; package-lock.json; package.json; postcss.config.mjs; tailwind.config.mjs,README.md; next.config.mjs; package-lock.json; package.json; postcss.config.mjs; tailwind.config.mjs,vercel,https://learnxcel.vercel.app,
user,shoaib2000857,shoaib2000857/java-describer,https://github.com/shoaib2000857/java-describer,,https://shoaib2000857.github.io/java-describer/,,shoaib2000857,HTML,,,Other,0,0,0,0,False,False,False,2025-10-15T14:07:20Z,2025-10-15T14:07:26Z,2025-10-15T14:07:23Z,main,,,2025-10-15T14:07:19Z,39da49f3cc2fe6e74eca8bb882f56428e153d39b,init with Pages workflow,README.md,False,6,.github,LICENSE; README.md; index.html,.github/workflows/pages.yml; README.md; index.html,github_pages,https://shoaib2000857.github.io/java-describer/,
